trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
170,False,"{'a': 0.5, 'e': 0.18112695312597024}",20,16,6.525132015115026,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.5, 'e': 0.17931568359471053}",20,8,23.756068096284228,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
172,False,"{'a': 0.5, 'e': 0.17752252675876343}",20,6,-70.72373303114065,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 2}",1
173,False,"{'a': 0.5, 'e': 0.1757473014911758}",25,17,1.607681598820057,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
174,False,"{'a': 0.5, 'e': 0.173989828476264}",25,14,20.47634621565431,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.5, 'e': 0.1722499301915014}",20,3,6.410554980039887,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
176,False,"{'a': 0.5, 'e': 0.17052743088958636}",20,0,12.0924998046037,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
177,False,"{'a': 0.5, 'e': 0.1688221565806905}",20,15,11.216313137491671,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.5, 'e': 0.1671339350148836}",20,0,-12.39681778573584,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
179,False,"{'a': 0.5, 'e': 0.16546259566473476}",20,14,11.59992745967557,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
180,False,"{'a': 0.5, 'e': 0.16380796970808742}",20,12,-27.409075396057656,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
181,False,"{'a': 0.5, 'e': 0.16216989001100654}",20,16,8.121024761803932,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
